numero,classe,lon,lat
1,chao nu,-7.491621,40.397046
2,agua,-7.596447,40.417625
3,pastagem,-7.59285,40.360319
4,mato rasteiro,-7.598569,40.339468
5,matagal,-7.566438,40.340372
6,matagal,-7.584066,40.339241
7,chao nu,-7.514968,40.350323
8,parede de rocha,-7.604937,40.314546
9,rocha com blocos,-7.586896,40.391166
10,agua,-7.58212,40.396593
11,chao nu,-7.495454,40.397272
12,floresta,-7.514673,40.413419
13,pastagem,-7.607531,40.40487
14,mato rasteiro,-7.527526,40.310294
15,pastagem,-7.584066,40.415861
16,pastagem,-7.598864,40.350594
17,rocha com blocos,-7.591553,40.395101
18,chao nu,-7.54539,40.350549
19,pastagem,-7.580234,40.386145
20,mato rasteiro,-7.530238,40.370948
21,parede de rocha,-7.57363,40.345483
22,mato rasteiro,-7.584773,40.409755
23,matagal,-7.527408,40.376963
24,rocha com blocos,-7.585186,40.386914
25,matagal,-7.557476,40.40582
26,mato rasteiro,-7.603168,40.350097
27,parede de rocha,-7.602755,40.328884
28,matagal,-7.547277,40.407901
29,agua,-7.596152,40.31242
30,rocha com blocos,-7.544624,40.390216
31,matagal,-7.576519,40.325401
32,floresta,-7.51373,40.403649
33,agua,-7.582179,40.398629
34,parede de rocha,-7.604052,40.334944
35,chao nu,-7.538728,40.315495
36,agua,-7.596506,40.417852
37,floresta,-7.506832,40.373571
38,rocha com blocos,-7.546628,40.388633
39,floresta,-7.519331,40.410705
40,chao nu,-7.538256,40.313234
41,floresta,-7.515145,40.383657
42,floresta,-7.5211,40.418711
43,mato rasteiro,-7.569503,40.394513
44,rocha com blocos,-7.564551,40.363168
45,agua,-7.564787,40.311063
46,parede de rocha,-7.604819,40.314184
47,parede de rocha,-7.601694,40.328115
48,pastagem,-7.582946,40.413871
