numero,classe,codigo,lon,lat,bytes_wms,estado
1,pastagens,3,-7.600338,40.349373,10025,ok
2,pastagens,3,-7.582415,40.413374,15316,ok
3,parede,8,-7.523635,40.375154,10286,ok
4,rocha,7,-7.576519,40.386959,13764,ok
5,floresta,5,-7.556474,40.407313,8671,ok
6,floresta,5,-7.540084,40.379722,13091,ok
7,agua,9,-7.529177,40.328069,15768,ok
8,pastagens,3,-7.596270,40.369229,6934,ok
9,mato rasteiro,6,-7.559834,40.338382,15904,ok
10,chao nu,10,-7.494805,40.316852,12120,ok
11,rocha,7,-7.569444,40.356022,10064,ok
12,mato rasteiro,6,-7.583240,40.405142,15379,ok
13,matagal,11,-7.500878,40.389583,7124,ok
14,matagal,11,-7.584361,40.310475,8288,ok
15,chao nu,10,-7.524048,40.343991,13803,ok
16,parede,8,-7.598982,40.336075,13416,ok
17,floresta,5,-7.540202,40.391528,10856,ok
18,chao nu,10,-7.559363,40.344171,17443,ok
19,floresta,5,-7.517916,40.396684,9404,ok
20,rocha,7,-7.598510,40.379496,14511,ok
21,rocha,7,-7.610420,40.385738,11859,ok
22,pastagens,3,-7.603757,40.369772,9051,ok
23,pastagens,3,-7.584596,40.387773,14808,ok
24,parede,8,-7.584007,40.345483,12290,ok
25,floresta,5,-7.521748,40.393699,8762,ok
26,mato rasteiro,6,-7.610066,40.317847,11267,ok
27,rocha,7,-7.551816,40.393608,13708,ok
28,agua,9,-7.494510,40.393156,9071,ok
29,agua,9,-7.565494,40.312510,17892,ok
30,rocha,7,-7.595739,40.400528,9111,ok
31,chao nu,10,-7.492152,40.416314,13394,ok
32,mato rasteiro,6,-7.559245,40.341412,17584,ok
33,rocha,7,-7.613132,40.411836,10602,ok
34,floresta,5,-7.551227,40.398086,7867,ok
35,mato rasteiro,6,-7.539848,40.354981,10877,ok
36,mato rasteiro,6,-7.571921,40.345438,12337,ok
37,agua,9,-7.597449,40.416585,7716,ok
38,agua,9,-7.597095,40.417173,10352,ok
39,matagal,11,-7.530061,40.380175,10914,ok
40,rocha,7,-7.617376,40.370767,9202,ok
41,pastagens,3,-7.577227,40.411655,15283,ok
42,parede,8,-7.566438,40.352901,11844,ok
43,parede,8,-7.606057,40.314636,14076,ok
44,chao nu,10,-7.546746,40.340327,18546,ok
